name,developer,publisher,release date,rating,24hour-peak-user,
LEGO® Worlds,TT Games,Warner Bros. Interactive Entertainment,"March 7, 2017 ??18:05:00 UTC (3 years ago)",? 75,350,
Hitman: Absolution,"Store Name Hitman: Absolution??""Developer",,,,,
"Io-Interactive A/S""","November 20, 2012 (7 years ago)",? 88,362,,,
Hellblade: Senua's Sacrifice,Ninja Theory,Ninja Theory,"August 8, 2017 ??03:55:00 UTC (2 years ago)",? 89,355,
Universe Sandbox ²,Giant Army,Giant Army,"August 24, 2015 ??23:41:00 UTC (4 years ago)",? 91,368,
Mass Effect,BioWare,Electronic Arts,NULL,? 91,388,
Bejeweled 3,Store Name Bejeweled® 3,"Developer
PopCap Games, Inc.","December 7, 2010 ??14:00:00 UTC (9 years ago)",? 91,381,
Terraforming Mars,Asmodee Digital,Asmodee Digital,"October 17, 2018 ??12:52:50 UTC (about a year ago)",? 66,372,
Watch_Dogs,"Store Name Watch_Dogs??""Developer",,,,,
"Ubisoft""","May 27, 2014 ??17:00:00 UTC (6 years ago)",? 68,384,,,
Creeper World 3: Arc Eternal,Knuckle Cracker,Knuckle Cracker,"March 27, 2014 ??18:08:04 UTC (6 years ago)",? 92,352,
Witch It,Barrel Roll Games,Daedalic Entertainment,"May 31, 2017 ??17:54:26 UTC (3 years ago)",? 83,349,
Deus Ex: Human Revolution - Director's Cut,Eidos Montreal,Square Enix,"October 25, 2013 ??19:00:00 UTC (6 years ago)",? 89,345,
Mass Effect 2,BioWare,Electronic Arts,NULL,? 92,347,
Vindictus,devCAT,NEXON Korea Corp. & NEXON America Inc.,"June 22, 2012 ??16:55:00 UTC (8 years ago)",? 69,374,
Danganronpa: Trigger Happy Havoc,"Spike Chunsoft Co., Ltd.","Spike Chunsoft Co., Ltd.","February 18, 2016 ??17:57:00 UTC (4 years ago)",? 93,409,
Half-Life 2: Episode Two,Valve,Valve,"October 10, 2007 ??07:00:00 UTC (12 years ago)",? 93,352,
Paint the Town Red,South East Games,South East Games,"October 13, 2015 ??11:58:13 UTC (4 years ago)",? 88,340,
Just Cause 2,Avalanche Studios,Square Enix,NULL,? 89,354,
CarX Drift Racing Online,CarX Technologies,CarX Technologies,"November 17, 2017 ??17:21:00 UTC (2 years ago)",? 82,357,
Lost,DSGame,DSGame,"October 1, 2019 ??00:59:06 UTC (3 months ago)",? 78,350,
RollerCoaster Tycoon: Deluxe,Store Name RollerCoaster Tycoon®: Deluxe,"Developer
Chris Sawyer Productions","May 21, 2014 ??15:41:28 UTC (6 years ago)",? 89,331,
Euro Truck Simulator 2 Demo,Last Known Name Euro Truck Simulator 2,"Developer
SCS Software","February 8, 2013 ??22:18:00 UTC (7 years ago)",327,327,
Max Payne 3,Rockstar Studios,Rockstar Games,"June 1, 2012 (8 years ago)",? 82,325,
NBA 2K17,Visual Concepts,2K,"September 20, 2016 ??17:00:00 UTC (3 years ago)",? 52,362,
Tales of Berseria,"Store Name Tales of Berseria??""Developer",,,,,
"BANDAI NAMCO Studios Inc.""","January 26, 2017 ??23:01:00 UTC (3 years ago)",? 90,354,,,
The Elder Scrolls V: Skyrim VR,Bethesda Game Studios,Bethesda Softworks,"April 2, 2018 ??22:51:00 UTC (2 years ago)",? 78,360,
Planetbase,Madruga Works,Madruga Works,"October 15, 2015 ??23:59:41 UTC (4 years ago)",? 74,330,
Soda Dungeon,AN Productions,Armor Games Studios,"February 7, 2017 ??06:01:07 UTC (3 years ago)",? 90,329,
Euro Truck Simulator 2 Demo,Last Known Name Euro Truck Simulator 2,"Developer
SCS Software","February 8, 2013 ??22:18:00 UTC (7 years ago)",328,328,
S.T.A.L.K.E.R.: Clear Sky,GSC Game World,GSC World Publishing,"September 15, 2008 ??07:00:00 UTC (11 years ago)",? 84,326,
Max Payne 3,Rockstar Studios,Rockstar Games,"June 1, 2012 (8 years ago)",? 82,325,
Star Trek Timelines,Disruptor Beam Inc.,Disruptor Beam Inc.,"July 12, 2017 ??15:29:38 UTC (3 years ago)",? 58,371,
BLOCKPOST,Skullcap Studios,Skullcap Studios,"April 25, 2019 ??15:27:38 UTC (9 months ago)",? 73,322,
BLOCKADE Classic,Novalink,Novalink,"May 21, 2019 ??08:30:26 UTC (8 months ago)",? 70,331,
LEGO® MARVEL Super Heroes 2,Store Name LEGO® Marvel Super Heroes 2,"Developer
TT Games","November 14, 2017 ??18:00:00 UTC (2 years ago)",? 76,319,
Endless Sky,Michael Zahniser,Michael Zahniser,"October 30, 2015 ??14:09:00 UTC (4 years ago)",? 87,364,
NARUTO TO BORUTO: SHINOBI STRIKER,Soleil Ltd.,BANDAI NAMCO Entertainment,"August 30, 2018 ??22:00:00 UTC (about a year ago)",? 63,316,
Seek Girl ??DSGame,DSGame,"January 10, 2020 ??07:02:29 UTC (a day ago)",??73,403,,
Armello,League of Geeks,League of Geeks,"September 1, 2015 ??16:06:00 UTC (4 years ago)",? 79,361,
Ironsight,Store Name Ironsight Asia,"Developer
WipleGames Inc.,","June 20, 2019 ??05:43:02 UTC (7 months ago)",? 59,399,
The Binding of Isaac,Edmund McMillen and Florian Himsl,Edmund McMillen,"September 28, 2011 ??17:01:00 UTC (8 years ago)",? 93,313,
Overcooked,Ghost Town Games Ltd.,Team17 Digital Ltd,"August 3, 2016 ??15:57:00 UTC (3 years ago)",? 88,366,
Last Year,Elastic Games,Elastic Games,"December 10, 2019 ??05:01:58 UTC (about a month ago)",? 68,332,
Tower Unite,PixelTail Games,PixelTail Games,"April 8, 2016 ??21:57:00 UTC (4 years ago)",? 84,399,
Mabinogi,NEXON Korea Corp.,Nexon America Inc.,"December 6, 2012 ??18:00:00 UTC (7 years ago)",? 71,540,
Command and Conquer 3: Kane's Wrath,Store Name Command & Conquer 3: Kane's Wrath,"Developer
EA Los Angeles","November 13, 2009 (10 years ago)",? 89,316,
POSTAL 2,Running With Scissors,Running With Scissors,"April 13, 2003 (17 years ago)",? 93,319,
Bit Heroes,Juppiomenz,Kongregate,"December 13, 2017 ??18:16:32 UTC (2 years ago)",? 75,308,
NBA 2K17,Visual Concepts,2K,"September 20, 2016 ??17:00:00 UTC (3 years ago)",? 52,362,
JUMP FORCE,"Spike Chunsoft Co., Ltd.",BANDAI NAMCO Entertainment,"February 14, 2019 ??22:00:00 UTC (11 months ago)",? 63,322,
The Evil Within,Tango Gameworks,Bethesda Softworks,"October 14, 2014 ??16:00:00 UTC (5 years ago)",? 80,324,
DiRT 4,Codemasters,Codemasters,"June 8, 2017 ??23:00:00 UTC (3 years ago)",? 68,329,
Wurm Unlimited,Code Club AB,Plug In Digital,"October 21, 2015 ??15:47:07 UTC (4 years ago)",? 68,331,
Time Clickers,Proton Studio Inc,Publisher,"July 23, 2015 ??18:07:00 UTC (4 years ago)",? 85,322,
Ancestors Legacy,Destructive Creations,1C Entertainment,"May 22, 2018 ??16:01:26 UTC (2 years ago)",? 75,315,
Arizona Sunshine,Vertigo Games,Vertigo Games,"December 6, 2016 ??18:01:00 UTC (3 years ago)",? 81,342,
Smite - Public Test,Hi-Rez Studios,Hi-Rez Studios,NULL,305,546,
Closers,Naddic Games,En Masse Entertainment,"February 6, 2018 ??17:58:02 UTC (2 years ago)",? 73,304,
Anno 2070,"Store Name Anno 2070??""Developer",,,,,
"Blue Byte""","November 17, 2011 ??18:53:00 UTC (8 years ago)",? 60,311,,,
Katana ZERO,Askiisoft,Devolver Digital,"April 18, 2019 ??14:11:00 UTC (9 months ago)",? 95,302,
Batman: Arkham Asylum GOTY Edition,Store Name Batman: Arkham Asylum Game of the Year Edition,"Developer
Rocksteady Studios","March 26, 2010 ??21:00:00 UTC (10 years ago)",? 93,303,
侠�?风云�?Tale of Wuxia),Heluo Studio,FHYX（凤?�游?�）,"April 28, 2016 ??13:45:00 UTC (4 years ago)",? 77,325,
Lust Epidemic,NLT Media,NLT Media,"January 9, 2020 ??11:40:26 UTC (2 days ago)",??70,301,
RIFT,Trion Worlds,Trion Worlds,"March 1, 2011 ??18:00:00 UTC (9 years ago)",? 73,307,
Gang Beasts,Boneloaf,Double Fine Presents,"December 12, 2017 ??17:10:00 UTC (2 years ago)",? 70,299,
Night of the Full Moon,Store Name ?�圆之夜 (Night of Full Moon),"Developer
Giant Games","July 26, 2019 ??02:00:00 UTC (6 months ago)",? 69,405,
Assassin's Creed Rogue,Store Name Assassin?�s Creed® Rogue,"Developer
Ubisoft Sofia","March 10, 2015 ??17:00:00 UTC (5 years ago)",? 79,314,
Eastside Hockey Manager,Sports Interactive,SEGA,"December 1, 2015 ??17:57:00 UTC (4 years ago)",? 80,342,
Half-Life 2: Episode One,Valve,Valve,"June 1, 2006 ??07:00:00 UTC (14 years ago)",? 91,297,
Call of War,Bytro Labs GmbH,Bytro Labs GmbH,"October 21, 2017 ??08:07:00 UTC (2 years ago)",? 54,320,
Stronghold 2,Store Name Stronghold 2: Steam Edition,"Developer
FireFly Studios",NULL,? 80,302,
Rento Fortune - Multiplayer Board Game,Store Name Rento Fortune: Online Dice Board Game (大富�?,"Developer
LAN - GAMES LTD","July 14, 2017 ??15:02:00 UTC (2 years ago)",? 51,395,
Children of Morta,Dead Mage,11 bit studios,"September 3, 2019 ??13:02:00 UTC (4 months ago)",? 89,296,
Assassin's Creed Brotherhood,Store Name Assassin?�s Creed® Brotherhood,"Developer
Ubisoft Montreal","March 22, 2011 ??17:00:00 UTC (9 years ago)",? 85,315,
"Gremlins, Inc.",Alexey Bokulev,The Merchant Guild of Rund (Limited),"March 11, 2016 ??04:01:00 UTC (4 years ago)",? 83,333,
Crusaders of Light,Hong Kong Netease Interactive Entertainment Limited,Hong Kong Netease Interactive Entertainment Limited,"March 8, 2018 ??01:11:34 UTC (2 years ago)",??55,340,
Darksiders III,Gunfire Games,THQ Nordic,"November 27, 2018 ??18:00:00 UTC (about a year ago)",? 73,301,
Anomaly Zone,Cybertime Games,Cybertime Games,"October 31, 2019 ??06:50:00 UTC (2 months ago)",??45,302,
Tropico 4,Haemimont Games,Kalypso Media Digital,"September 1, 2011 ??17:00:00 UTC (8 years ago)",? 88,292,
Salt and Sanctuary,Ska Studios,Ska Studios,"May 17, 2016 ??17:01:48 UTC (4 years ago)",? 89,307,
Dead Island Definitive Edition,Techland,Deep Silver,"May 31, 2016 ??07:01:39 UTC (4 years ago)",? 73,325,
Stationeers,RocketWerkz,RocketWerkz,"December 12, 2017 ??22:57:00 UTC (2 years ago)",? 78,291,
Pro Evolution Soccer 2017,Konami Digital Entertainment,Konami Digital Entertainment,"September 14, 2016 ??22:58:00 UTC (3 years ago)",290,298,
Cooking Simulator,Big Cheese Studio,PlayWay S.A.,"June 6, 2019 ??15:00:00 UTC (7 months ago)",? 80,305,
Wallpaper Maker （造物主视频桌??��,Dream.Machine,Dream.Machine,"April 4, 2019 ??06:54:41 UTC (9 months ago)",??74,374,
Outlast,Red Barrels,Red Barrels,"September 4, 2013 ??07:00:00 UTC (6 years ago)",? 94,289,
KARDS - The WWII Card Game,1939 Games,1939 Games,"April 12, 2019 ??13:43:00 UTC (9 months ago)",? 84,326,
Game Dev Tycoon,Greenheart Games,Greenheart Games,"August 29, 2013 ??17:00:00 UTC (6 years ago)",? 93,338,
L.A. Noire,Team Bondi,Rockstar Games,NULL,? 83,306,
Factory Town,Erik Asmussen,Erik Asmussen,"March 12, 2019 ??13:52:52 UTC (10 months ago)",? 86,286,
LEGO® Harry Potter: Years 1-4,TT Games,Warner Bros. Interactive Entertainment,NULL,? 78,286,
LEGO® Jurassic World,TT Games Ltd,Warner Bros. Interactive Entertainment,"June 12, 2015 ??16:00:00 UTC (5 years ago)",? 83,284,
Cliff Empire,Lion's Shade,Lion's Shade,"August 6, 2019 ??19:04:36 UTC (5 months ago)",? 85,284,
Breeders of the Nephelym: Alpha,DerelictHelmsman,DerelictHelmsman,"October 18, 2019 ??16:40:39 UTC (3 months ago)",? 88,392,
Outlast,Red Barrels,Red Barrels,"September 4, 2013 ??07:00:00 UTC (6 years ago)",? 94,289,
Factory Town,Erik Asmussen,Erik Asmussen,"March 12, 2019 ??13:52:52 UTC (10 months ago)",? 86,286,
Salt and Sanctuary,Ska Studios,Ska Studios,"May 17, 2016 ??17:01:48 UTC (4 years ago)",? 89,307,
GemCraft - Chasing Shadows,Game in a Bottle,Armor Games Studios,"April 30, 2015 ??18:58:03 UTC (5 years ago)",? 92,284,
GRIS,Nomada Studio,Devolver Digital,"December 13, 2018 ??13:54:00 UTC (about a year ago)",? 94,321,
Verdun,M2H,M2H,"April 28, 2015 ??10:48:00 UTC (5 years ago)",? 82,304,
Vampyr,DONTNOD Entertainment,Focus Home Interactive,"June 4, 2018 ??22:00:00 UTC (2 years ago)",? 72,294,
Cliff Empire,Lion's Shade,Lion's Shade,"August 6, 2019 ??19:04:36 UTC (5 months ago)",? 85,284,
Yu-Gi-Oh! Legacy of the Duelist,Other Ocean Interactive,"Konami Digital Entertainment, Inc.","December 7, 2016 ??17:58:40 UTC (3 years ago)",? 81,326,
TERA,Store Name TERA: The Next,"Developer
Bluehole, Inc.","September 14, 2015 ??16:59:00 UTC (4 years ago)",? 79,283,
Parkitect,Texel Raptor,Texel Raptor,"November 29, 2018 ??17:10:11 UTC (about a year ago)",? 89,283,
Tropico 4,Haemimont Games,Kalypso Media Digital,"September 1, 2011 ??17:00:00 UTC (8 years ago)",? 88,292,
Spore: Galactic Adventures,Store Name SPORE??Galactic Adventures,"Developer
EA - Maxis","June 23, 2009 ??07:00:00 UTC (11 years ago)",? 80,285,
Sid Meier's Pirates!,Firaxis Games,2K,NULL,? 89,284,
L.A. Noire,Team Bondi,Rockstar Games,NULL,? 83,306,
Night of the Full Moon,Store Name ?�圆之夜 (Night of Full Moon),"Developer
Giant Games","July 26, 2019 ??02:00:00 UTC (6 months ago)",? 69,405,
Outlaws of the Old West,Virtual Basement LLC,Wandering Wizard,"March 12, 2019 ??16:45:33 UTC (10 months ago)",? 66,284,
Axis & Allies 1942 Online,Beamdog,Beamdog,"July 31, 2019 ??17:00:32 UTC (5 months ago)",? 70,326,
Zuma Deluxe,"PopCap Games, Inc.","PopCap Games, Inc.","August 30, 2006 ??07:00:00 UTC (13 years ago)",? 86,276,
Call of Duty: Black Ops II,Store Name Call of Duty®: Black Ops II,"Developer
Treyarch","November 13, 2012 ??08:00:00 UTC (7 years ago)",? 83,289,
Injustice??2,NetherRealm Studios,WB Games,"November 14, 2017 ??17:53:00 UTC (2 years ago)",? 79,317,
Amazing Frog?,Fayju,Fayju,"November 21, 2014 ??17:32:26 UTC (5 years ago)",? 85,275,
This Land Is My Land,Game-Labs,Game-Labs,"November 20, 2019 ??09:01:01 UTC (2 months ago)",??77,282,
The Guild 3,Purple Lamp Studios,THQ Nordic,"September 26, 2017 ??16:59:00 UTC (2 years ago)",? 53,278,
Jump King,Nexile,Nexile,NULL,? 88,329,
Day of Infamy,New World Interactive,New World Interactive,"March 23, 2017 ??20:04:28 UTC (3 years ago)",? 80,291,
FINAL FANTASY IX,Square Enix,Square Enix,"April 14, 2016 ??06:57:00 UTC (4 years ago)",? 89,273,
The Talos Principle,Croteam,Devolver Digital,"December 11, 2014 ??17:02:00 UTC (5 years ago)",? 93,290,
Ticket to Ride,Days of Wonder,Days of Wonder,"May 24, 2012 ??17:00:00 UTC (8 years ago)",? 81,298,
Awesomenauts,Store Name Awesomenauts - the 2D moba,"Developer
Ronimo Games","August 1, 2012 ??17:00:00 UTC (7 years ago)",? 83,277,
Citadel: Forged With Fire,Store Name Citadel: Forged with Fire,"Developer
Blue Isle Studios","November 1, 2019 ??13:06:00 UTC (2 months ago)",? 65,275,
Anno 1404,Blue Byte,Ubisoft,NULL,? 83,282,
Tricky Towers,WeirdBeard,WeirdBeard,"August 2, 2016 ??11:55:00 UTC (3 years ago)",? 87,272,
Software Inc.,Coredumping,Coredumping,"May 1, 2015 ??13:03:38 UTC (5 years ago)",? 88,281,
PRO EVOLUTION SOCCER 2018,"Konami Digital Entertainment Co., Ltd.",Konami Digital Entertainment,"September 13, 2017 ??21:59:35 UTC (2 years ago)",? 59,281,
"Hot Dogs, Horseshoes & Hand Grenades",RUST LTD.,RUST LTD.,"April 5, 2016 ??07:00:37 UTC (4 years ago)",? 93,402,
Sid Meier's Civilization IV: Colonization,Firaxis Games,2K,"September 23, 2008 ??19:00:00 UTC (11 years ago)",? 75,273,
Gothic,Store Name Gothic 1,"Developer
Piranha Bytes","March 15, 2001 (19 years ago)",? 85,269,
Super Animal Royale,Pixile,Pixile,"December 12, 2018 ??12:04:06 UTC (about a year ago)",? 92,319,
AO Tennis 2,Big Ant Studios,Bigben Interactive,"January 9, 2020 ??09:00:57 UTC (2 days ago)",??71,270,
Homeworld Remastered Collection,Gearbox Software,Gearbox Publishing,"February 25, 2015 ??18:00:00 UTC (5 years ago)",? 84,265,
Day of Infamy,New World Interactive,New World Interactive,"March 23, 2017 ??20:04:28 UTC (3 years ago)",? 80,291,
Wolfenstein: Youngblood,Machine Games,Bethesda Softworks,"July 25, 2019 ??16:59:00 UTC (6 months ago)",? 44,272,866
Night of the Full Moon,Store Name ?�圆之夜 (Night of Full Moon),"Developer
Giant Games","July 26, 2019 ??02:00:00 UTC (6 months ago)",? 69,405,
Project CARS,Slightly Mad Studios,Slightly Mad Studios,"May 6, 2015 ??22:06:00 UTC (5 years ago)",? 74,273,
Gothic,Store Name Gothic 1,"Developer
Piranha Bytes","March 15, 2001 (19 years ago)",? 85,269,
Coloring Pixels,ToastieLabs,ToastieLabs,"August 17, 2018 ??20:00:30 UTC (about a year ago)",? 92,322,
Wolfenstein: The Old Blood,Store Name Wolfenstein: The Old Blood,"Developer
MachineGames","May 5, 2015 ??04:00:00 UTC (5 years ago)",? 85,276,
Construction-Simulator 2015,Store Name Construction Simulator 2015,"Developer
weltenbauer. Software Entwicklung GmbH","November 18, 2014 ??22:59:00 UTC (5 years ago)",? 74,264,
Command and Conquer: Red Alert 3 - Uprising,Store Name Command & Conquer: Red Alert 3 - Uprising,"Developer
EA Los Angeles","October 6, 2009 ??07:00:00 UTC (10 years ago)",? 78,339,
Life is Strange: Before the Storm,Deck Nine,Square Enix,"August 31, 2017 ??16:04:00 UTC (2 years ago)",? 91,270,
Walking Zombie 2,Alda Games,Alda Games,"October 11, 2019 ??10:00:00 UTC (3 months ago)",? 82,278,
Stream Avatars,Travis Miller,Travis Miller,"July 26, 2017 ??15:31:13 UTC (2 years ago)",??85,362,
Hotline Miami 2: Wrong Number,Dennaton Games,Devolver Digital,"March 10, 2015 ??16:00:00 UTC (5 years ago)",? 90,300,
Puyo Puyo?�Tetris®,Store Name Puyo Puyo?�Tetris®,"Developer
Sonic Team","February 27, 2018 ??18:00:00 UTC (2 years ago)",? 80,319,
100 Orange Juice,Orange_Juice,Fruitbat Factory,"May 16, 2014 ??19:19:00 UTC (6 years ago)",? 91,344,
Atom Fishing II,Woolf,R-Age,"November 30, 2016 ??02:28:00 UTC (3 years ago)",? 69,276,
Nine Parchments,Frozenbyte,Frozenbyte,"December 5, 2017 ??15:50:51 UTC (2 years ago)",? 73,279,
Spiral Knights,"Grey Havens, LLC","Grey Havens, LLC","June 14, 2011 ??16:30:00 UTC (9 years ago)",? 81,272,
Worms W.M.D,Team17 Digital Ltd,Team17 Digital Ltd,"August 23, 2016 ??15:49:15 UTC (3 years ago)",? 77,403,
The Surge 2,Deck13,Focus Home Interactive,"September 23, 2019 ??21:59:00 UTC (4 months ago)",? 78,260,
Thea 2: The Shattering,MuHa Games,MuHa Games,"May 13, 2019 ??09:58:00 UTC (8 months ago)",? 77,257,
DRAGON QUEST BUILDERS 2 JUMBO DEMO,Square Enix,Square Enix,"December 4, 2019 ??17:00:34 UTC (about a month ago)",257,275,
Sword Art Online: Hollow Realization Deluxe Edition,AQURIA,BANDAI NAMCO Entertainment,"October 27, 2017 ??08:10:53 UTC (2 years ago)",? 78,281,
Super Animal Royale,Pixile,Pixile,"December 12, 2018 ??12:04:06 UTC (about a year ago)",? 92,319,
Darksiders Warmastered Edition,KAIKO,THQ Nordic,"November 29, 2016 ??17:44:00 UTC (3 years ago)",? 83,279,
Power & Revolution 2019 Edition,Eversim,Eversim,"March 12, 2019 ??16:46:02 UTC (10 months ago)",??56,259,900
AdventureQuest 3D,"Artix Entertainment, LLC","Artix Entertainment, LLC","October 19, 2016 ??20:46:21 UTC (3 years ago)",? 72,253,
Dominions 5,Store Name Dominions 5 - Warriors of the Faith,"Developer
Illwinter Game Design","November 27, 2017 ??10:56:30 UTC (2 years ago)",? 88,298,
WWE 2K19,Visual Concepts,2K,"October 9, 2018 ??04:00:00 UTC (about a year ago)",? 64,265,
SimAirport,LVGameDev LLC,LVGameDev LLC,"March 7, 2017 ??02:25:00 UTC (3 years ago)",? 75,252,
Depth,Digital Confectioners,Digital Confectioners,"November 3, 2014 ??18:01:00 UTC (5 years ago)",? 85,266,
Rules Of Survival,Netease Games,Netease Games,"May 31, 2018 ??03:57:00 UTC (2 years ago)",? 60,363,
Flashing Lights,"Store Name Flashing Lights - Police, Firefighting, Emergency Services Simulator","Developer
Nils Jakrins","June 7, 2018 ??15:31:00 UTC (2 years ago)",? 77,251,
Holdfast: Nations At War,Anvil Game Studios,Anvil Game Studios,"September 21, 2017 ??17:50:06 UTC (2 years ago)",? 83,591,
SpeedRunners,DoubleDutch Games,tinyBuild,"April 19, 2016 ??16:47:00 UTC (4 years ago)",? 91,441,
Modern Combat 5,Gameloft,Gameloft,"October 24, 2018 ??08:00:42 UTC (about a year ago)",? 49,258,
DiRT 3 Complete Edition,Codemasters Racing Studio,Codemasters,"April 1, 2015 ??14:54:00 UTC (5 years ago)",247,298,
Pro Cycling Manager 2018,Cyanide Studio,Focus Home Interactive,"June 28, 2018 ??16:00:00 UTC (2 years ago)",??60,246,
Troubleshooter,Dandylion,Dandylion,"December 31, 2017 ??03:14:39 UTC (2 years ago)",? 86,274,
Moonlighter,Digital Sun,11 bit studios,"May 29, 2018 ??12:45:00 UTC (2 years ago)",? 79,247,
Tales of Vesperia: Definitive Edition,QLOC,BANDAI NAMCO Entertainment,"January 10, 2019 ??23:05:00 UTC (about a year ago)",? 85,276,
"Warhammer 40,000: Dawn of War III",Relic Entertainment,SEGA,"April 27, 2017 ??14:00:00 UTC (3 years ago)",? 45,266,
The Universim,Crytivo,Crytivo,"August 28, 2018 ??18:16:00 UTC (about a year ago)",? 77,246,
Disgaea 5 Complete,"Nippon Ichi Software, Inc.","NIS America, Inc.","October 22, 2018 ??17:00:00 UTC (about a year ago)",? 81,255,
BRAIN / OUT,Desertkun,Desertkun,"February 24, 2017 ??09:05:06 UTC (3 years ago)",? 79,297,
BioShock 2 Remastered,Store Name BioShock??2 Remastered,"Developer
2K Marin","September 15, 2016 ??22:00:00 UTC (3 years ago)",? 54,272,
Colony Survival,Pipliz,Pipliz,"June 16, 2017 ??07:59:16 UTC (3 years ago)",? 85,251,
Goat Simulator,Coffee Stain Studios,Coffee Stain Publishing,"April 1, 2014 ??16:36:00 UTC (6 years ago)",? 87,250,
Tales of Maj'Eyal,Netcore Games,Netcore Games,"December 13, 2013 ??00:57:25 UTC (6 years ago)",? 91,253,
GameMaker Studio 2 Desktop,YoYo Games Ltd.,YoYo Games Ltd.,"March 8, 2017 ??21:45:56 UTC (3 years ago)",? 79,248,
Project Torque,Store Name Project Torque - Free 2 Play MMO Racing Game,"Developer
Invictus Games Ltd.","December 20, 2019 ??17:14:00 UTC (22 days ago)",??68,301,
